#metric_id,frequency_type,subject,measure,gdf_id,graph_id,discovery_ts
030001008700000004000000290000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7903,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
0300010087000000040000002A0000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7904,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
0300010087000000040000002A0000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7904,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
0300010087000000040000002A0000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7904,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
0300010087000000040000002B0000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7905,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
0300010087000000040000002B0000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7905,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
0300010087000000040000002B0000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_7905,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
0300010087000000040000002C0000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8005,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690357
0300010087000000040000002C0000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8005,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690357
0300010087000000040000002C0000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8005,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690357
